entity,entity_frequency
infinitypharmaceuticals,1
cancercares,1
specimen,2
yeah,1
directmarketinghotels,4
getleads,4
mpln,2
lankenaugrandrounds,1
leonigeria,1
min,1
turbodepths,1
equals,1
mcmasters,1
tune,1
fnrawards,1
diskutieren,1
seminarseries,1
trebuchets,1
cows,1
clinicatrials,1
affirms,1
sopars,1
lliberals,1
uhn_news,1
officers,1
depths,1
bobofraggles,1
guysgals,1
southamptons,1
briefs,1
cirs,3
propels,1
antimalarials,1
nct,3
nks,1
exports,1
businesses,1
fractures,1
confounders,1
northfields,1
beautifulskies,1
payers,1
chiquits,1
winnipegrha,1
friskies,1
newyorkhealthworks,1
cushions,1
descifradas,3
mutaciones,3
causantes,2
wrinkles,1
birds,2
suspects,1
cancerres,1
fc,2
leukemiasucks,1
advies,1
mrdneg,1
eams,2
wankers,1
flu,1
classifications,1
shoutgamers,1
codsandscrims,1
macrolides,3
plata,1
granulocytes,1
metro,1
nyredbulls,5
apsho_experts,8
rescues,5
itunes,40
hilmen,1
pplc,1
costas,1
moins,1
wyour,1
ducklings,1
hats,1
stylistics,1
clic_dickens,1
districtchamps,1
goodbye,1
problemschallenges,1
sails,2
maurerstats,1
välkommen,2
màquinas,1
kartaganers,1
paints,1
nhldraft,1
sumners,1
herbs_remedies,1
pics,3
toes,1
narcoperros,1
monteria,1
cordoba,1
welcomes,1
twitterads,1
nationals,1
recaps,1
betters,1
reiterations,1
exploits,1
broadens,1
flashes,1
dartigeas,1
tn,1
dyk,1
expires,1
aes,1
mascaras,1
mcri_for_kids,1
bonitos,1
grandma,1
dimen,1
sags,1
specialtyptimes,1
weismans,1
thankyoucards,1
gifts,1
health_news,2
sayings,1
encuéntranos,1
annas,1
masterfeeds,1
fesses,2
fines,2
weatherexpectations,1
mentalhealth,1
amiens,1
cfc,2
bergues,1
smps,1
estamos,1
jaypsalespro,1
strings,1
menu,1
bovishomes,1
gras,1
puntuables,1
furries,1
uncertainties,1
sundays,1
influencers,1
sharmans,2
ev,1
historia,1
videowalls,1
agers,1
microvesicles,2
cts,1
clinicalresearchtrials,1
allthehyphens,1
nccnac,2
immunomedics,1
klf,1
speeds,1
diplomas,3
abbottnews,1
hayesnews,1
sisters,1
fees,1
africans,1
currcancerdrugtargets,1
researches,2
cypa,4
greggamps,2
inhibitortreatments,1
gribbentimes,1
ask_experts,1
inspiringpossibilities,1
changers,1
follikulären,1
anders,2
allele,1
mitochonnews,1
contracts,1
encodingnumbers,1
enhancements,1
patientchat,1
prairielakes,6
prays,1
maßnahmen,1
halts,2
drdavids,1
unodelossectores,1
niñosniñasyadolescentes,1
greatnews,1
rt,1
jampjabbvies,1
boils,1
nice,1
doxorubicin,1
fellowships,1
dad,1
nelia,1
congresses,1
teamdiabetes,13
surrogates,1
atas,2
patientreportedoutcomes,2
mi,4
behandelingsopties,1
medtechbabyknows,1
hicks,2
hcsm,1
illinoissocialworks,1
centres,1
reflektieren,1
medhuérfanos,1
targetdrugs,1
acalabrutinibbrutons,1
hromas,1
nephpearls,1
buffalobandits,1
genmabs,1
depends,1
llsinthenews,2
hows,1
lymphco,1
suggestions,1
tendencies,1
glennsabins,1
mereces,1
link,1
spirits,1
finkers,1
benchmarks,1
checklisten,1
apartments,1
happyclients,1
dallasapartments,1
knowledgeisbestrx,1
yikes,1
vandyhofellows,1
wow,1
komonews,1
telephones,1
toddlers,1
n,2
halves,1
respnses,1
firstempressions,1
derives,59
techpro,1
wisenews,4
futureworldnews,3
celebrities,1
worldnews,1
innovativesolutions,1
gileads,10
res,2
tsangs,1
builds,1
helena,1
chi,1
sweets,1
emergingdrugs,1
itworks,1
toleros,1
arrestassignsubsets,3
clinicaltria,1
romans,2
npgnews,1
normans,1
literários,1
ebooks,1
writers,2
canadianrockies,1
mtmdphd,1
angels,2
medstudentproblems,1
aan,1
enthusiasts,1
preliminares,1
artists,3
heinz,2
nuestros,1
parquedelosnovios,1
byrds,2
jaadcasereports,2
hematogeriatrics,1
wcmnypjcto,1
potentes,1
dozens,1
assesses,2
autoimmune,3
mañana,1
johannes,1
loads,1
leukemialetters,1
nhl,1
metas,1
pommes,1
entradas,1
buttons,1
biobetters,1
cardiacgenomics,1
worries,1
subscribers,1
nccnmeetings,1
interims,1
app,1
disappointments,1
piggybanks,1
humanidades,2
gros,1
swingers,1
subdivisions,3
venules,1
serviceebooks,1
bmb,1
tg,1
dies,1
worldpharmanews,1
jessetinks,1
engineers,1
oils,1
irres,1
workouts,1
surgeryyikes,1
simons,1
wayne,1
powerfulwords,1
klasemen,1
flips,1
zatans,1
patientshelpingpatients,1
gumballs,1
mountains,1
pharmacogenetics,1
assignsubsets,1
malignacies,1
classics,1
bestfreinds,1
spells,1
selects,1
cllwhats,2
beasts,1
deregulates,1
losers,1
sfc,1
listings,1
losses,1
conkers,1
cats,1
horas,1
files,2
capabilities,2
salespromotions,3
lyrics,1
rpts,1
clinicals,1
highlighlts,1
bestfriends,1
poitoucharentes,3
compartments,1
komen,1
lopes,7
felizlunes,1
cr_uk,1
barilochemes,1
shakes,1
montonsports,1
arzerra,2
erreurs,1
faites,1
cancersnews,1
mcmasteru,3
wohoo,1
unders,1
concludes,1
rivetti,1
cantabria,1
austria,1
gnwnews,1
cronies,1
montonsquad,1
médiques,1
furmans,2
thwarts,2
cr,1
floridas,1
progressors,1
lessens,1
q,1
notchcmyc,1
préinscriptions,1
créons,1
roomies,1
ethics,1
vampires,1
rforbiochemists,1
haces,1
acts,1
ims,1
paycations,1
merits,1
designates,3
slips,1
editorials,3
gustas,1
cllmemortweets,1
toujours,1
mieux,1
strongvideos,12
graphics,1
tga,1
hikes,1
ekata,1
wpatients,1
numériques,2
coplayers,1
altas,1
impactpaques,1
tapes,1
leagues,1
animalmodels,1
transformations,1
foodallergies,7
prediabetes,7
hives,7
achilles,1
polypeptides,1
delata,1
lads,1
prooxidants,1
cllsllbloodpathologists,1
magalles,1
rna,1
havenots,2
kommen,1
christophers,1
snpmicroarrays,1
georgiaregents,1
newcar,1
phalloides,1
openingceremonies,2
zotroots,1
stalls,1
msn,6
antibodynews,1
socios,1
viernes,1
familiares,1
whistlerlymphoidmalignancies,1
lhawards,1
dercums,1
poitiers,1
workloads,1
trynna,1
miércoles,1
clases,2
deposits,1
respirologycasereports,1
effectsdrdavids,1
hermanfinkers,1
prizes,1
competitions,1
mums,1
lunes,1
conversaciones,1
serenata,1
tentaciones,1
faith,1
retouches,1
factoids,2
mylittlemvp,1
monica,1
piles,1
geomechanics,1
civilworks,4
machines,2
stonecolumns,1
columns,1
eudiseaselens,3
eagles,1
miercoles,1
managerscoaches,1
crowd,1
gosquirrels,1
auctions,1
meilleures,1
manques,1
transfers,1
cleaners,1
necesitamos,2
aggresivenes,1
implants,2
nvvh,1
lobo,1
busques,1
jeff_mats,1
malas,1
fixtures,1
gerrards,1
