tweet_author,overall_polarity
CancerWallonia,negative
Jennifer Smith,negative
Jennifer Smith,negative
"Bachar Samra, MD",positive
AbbVie,negative
Dr Richard Birkinshaw,negative
VJHemOnc,negative
VJHemOnc,negative
Carla Casulo,negative
ipharmacenter,negative
"Pharmacyclics, an AbbVie Company",positive
info@medicalresearch.com,negative
calliecoombs,positive
Patient Power,negative
Oncology Tube,negative
JanssenUS,negative
NewYork-Presbyterian,negative
WCM Lymphoma,negative
RazzleTazzle,negative
School of Cancer & Pharmaceutical Sciences,negative
"Pharmacyclics, an AbbVie Company",negative
JanssenUS,negative
Oncology News Australia,negative
Chocolatiere Phys,negative
Value-Based Cancer Care,negative
"Dr T. Comeau , MD",negative
@linfopedia,positive
Verastem Oncology,negative
Revista El Repollero,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Bennia Johnson,negative
Bioengineer.org,negative
"Pharmacyclics, an AbbVie Company",negative
Mazen M,negative
JanssenUS,negative
Mark DeSaulnier,positive
AbbVie Canada,positive
MOBO System,positive
MedPage Today,negative
Bioengineer.org,negative
Sarah Cannon Docs,negative
Bioengineer.org,negative
Medivizor,negative
Bioengineer.org,negative
MEDtalks CH,negative
Amy C. Cavers,negative
Dee Jones,negative
a follower,positive
Medscape,positive
Phillip Scheinberg,positive
Onica L. Pinzón C. MD,negative
ACCC,negative
CLL Ireland,negative
"Pharmacyclics, an AbbVie Company",negative
JanssenUS,positive
Janssen Global,negative
CURE Magazine,negative
OncoAlert,negative
"Thomas LeBlanc, MD, MA, MHS, FAAHPM",negative
"Thomas LeBlanc, MD, MA, MHS, FAAHPM",negative
NEJM,negative
iwCLL,positive
NEJM Resident 360,negative
StressMarq,negative
Suresh Surenthiran,negative
Michele Nadeem-Baker,positive
Kathleen D. Hoffman,negative
JanssenUS,positive
MedPage Oncology,negative
SSBMT الخلاياالجذعية,negative
"Pharmacyclics, an AbbVie Company",negative
"Pharmacyclics, an AbbVie Company",positive
"Pharmacyclics, an AbbVie Company",negative
"Pharmacyclics, an AbbVie Company",negative
"Pharmacyclics, an AbbVie Company",negative
RTI Health Solutions,negative
JanssenUS,negative
JanssenUS,negative
JanssenUS,positive
JanssenUS,positive
JCAD,negative
HofNorthwell Kidney,negative
SciTech Research,negative
LymphomaAction,negative
AbbVie Canada,positive
Esther Schorr,positive
"Krizsán Szilvia, MD",negative
Toby Eyre,negative
SpecialtyPTimes,negative
Verastem Oncology,negative
NMDP/Be The Match Advocacy,negative
MD Anderson Cancer Center,negative
CancerWallonia,negative
Bioengineer.org,negative
Sam David Management | Black World Studios,negative
Bioengineer.org,negative
Amanda Marie,negative
@linfopedia,positive
Satyen Gohil,positive
MD Anderson Cancer Center,positive
Hematopoiesis News,negative
Amit Sud,negative
"Rashmi Kanagal-Shamanna, MD",negative
DTHSTR,negative
NMDP/Be The Match Advocacy,negative
Leukemia & Lymphoma Society Research,positive
握ったまま金貨金地金買取り所,negative
info-over-kanker,negative
Broad Institute,negative
Charles Herbaux,positive
Lurie Cancer Center,negative
Nucleus Biologics,negative
NEJM,negative
CancerWallonia,negative
"Raul Cordoba, MD, PhD",negative
Martin A. Nowak,positive
"Amber Koehler, PA-C",positive
Muzaffar Qazilbash,negative
National Cancer Institute,negative
PressReleasePoint,negative
ASH Clinical News,negative
Scott Merville,negative
Covaris,negative
Oncology Strategies,negative
Lymphoma Hub,negative
MD Anderson Cancer Center,negative
Roy Tindle,negative
Medivizor,negative
Michael Hallek,positive
Royal Free Library,negative
MoJo,negative
Mazen M,negative
Muiro Yatakama,negative
Ruggero Respigo,negative
Hematología Salamanca,negative
"Sanam Loghavi, MD",positive
Bioengineer.org,negative
YoBuzz,negative
LIVINGSTRONGTV.COM,negative
Science Codex,negative
Hematopoiesis News,negative
Muiro Yatakama,negative
Theresa (Clementi) Doan,positive
Clean Food,negative
"chadi nabhan MD, MBA, FACP",negative
Bioengineer.org,negative
MedPage Oncology,negative
healthmedicinet,negative
Science and Technology News,negative
Bioengineer.org,negative
YoBuzz,negative
Art Fridrich,negative
Crwe World,negative
BeyondIgY™,negative
Art Fridrich,negative
NEJM,negative
HemOnc Today,positive
john randall,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
SpecialtyPTimes,negative
BeyondIgY™,negative
Jan van de Kamp,negative
medical_tweets,positive
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
bob lee,negative
Your Health in Hand,negative
Club Libertad Limpeño,negative
Ace Pain Management & Rehabilitation center.,negative
Somsirsa Chatterjee,negative
Muiro Yatakama,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
EzBrz,negative
Mignon Dunbar,negative
Andy Vermaut,negative
Larry K Chapman,negative
Md Abul Khair,negative
Zyite.news,negative
Medical Xpress,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Science and Technology News,negative
Bioengineer.org,negative
Washington Research Foundation & WRF Capital,negative
Dana-Farber News,negative
Verastem Oncology,negative
i3 Health,negative
Manel Esteller,positive
Cancer Core Europe,negative
DKFZ,negative
Danish hussain,negative
Patient Power,positive
Oncology Tube,negative
Targeted Oncology,negative
Anthony Mato,negative
Toby Eyre,negative
Toby Eyre,negative
Toby Eyre,negative
Toby Eyre,negative
Toby Eyre,negative
CLL Society Inc.,negative
Sigrid Skånland,positive
Kathleen D. Hoffman,negative
𝔸𝕟𝕘𝕖𝕝𝕚𝕠𝕟✯,negative
selpers - Online-Plattform für chronisch Kranke,negative
SwingTradeBot UK,negative
Medivizor,negative
CLL Society Inc.,negative
@linfopedia,positive
Hematology Advisor,negative
Real Heroes Wear A Mask,negative
WheelieDealer,negative
Liz Brem,positive
"Sanam Loghavi, MD",negative
i3 Health,negative
Vinci-Biochem Srl,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Medivizor,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Toby Eyre,negative
Toby Eyre,positive
CancerWallonia,negative
Medivizor,negative
Oncology Strategies,negative
Patient Power,negative
"Naveen Pemmaraju, MD",positive
CLL Society Inc.,negative
Hematon,negative
Michiel Hageman,negative
WDON RADIO,positive
Alexander M. J.,negative
Oncology Tube,negative
i3 Health,positive
Toby Eyre,negative
EurekaMag,negative
PressRelease.cc,negative
Transcriptomes,negative
SwingTradeBot UK,negative
Toby Eyre,negative
Cancer Papers,negative
Miloš Miljković,negative
Michele Nadeem-Baker,negative
Patient Power,negative
Genentech,positive
Weill Cornell Leukemia,negative
Trip Database,negative
AIM Alerts!,negative
ABNewswire,negative
CTCF Papers 📚,negative
The Lancet Haematology,negative
DRG Epidemiology,negative
日本人向けUSMLE対策bot,negative
OKCHEM,positive
Cureus,negative
WCM Lymphoma,negative
Kathleen D. Hoffman,negative
Lung Cancer News,negative
Catherine Velázquez,negative
Esther Schorr,negative
Matthews & Associates,negative
Hematologia ICO Hospitalet,positive
Jen Silverman,negative
Crwe World,positive
Kathrinabentley(KB),negative
the limbic,negative
Drug Store News,negative
Oncology Tube,negative
"Comprehensive Cell Solutions,New York Blood Center",negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
ClinicalTrialsData,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
MedPipeline,negative
"Cowan, Liebowitz",positive
CLL Society Inc.,positive
CellworksLife,negative
ACINDES Internacional,negative
Mary Ruberry,negative
Gene Regulation,positive
Mazen M,negative
Lymphoma Papers,negative
Lymphoma Papers,negative
DNA Test Hub,negative
Fred Hutch,positive
Drugnews.in,negative
01581Psychotherapy,negative
WWE Noticias FM,negative
JCAD,negative
Andrew Schorr,negative
Jeff Neurman,negative
MD Anderson Cancer Center,positive
Matrix Medical Communications,negative
MD Anderson Leukemia,negative
Andrew Schorr,negative
emilylevitch_i3Health,positive
Dr. Saadvik Raghuram y,negative
Lampe & Company,negative
Dimitris Vavoulis,negative
iwCLL,positive
bxv_genomics,negative
Verastem Oncology,negative
i3 Health,negative
DEEPAK B. Thimiri Govinda Raj,negative
CLL Society Inc.,negative
iwCLL,positive
Wnt publications,negative
Javier Santoyo,negative
DRG Epidemiology,negative
bioRxiv Genomics,negative
bioRxiv,negative
Toby Eyre,negative
CLL Society Inc.,positive
CLL Society Inc.,negative
FDA Daily,negative
Esther Schorr,positive
MedPage Oncology,negative
Genentech,negative
AIM Alerts!,negative
Nela Klein-González,negative
Randi Hernandez,negative
Physician's Weekly,negative
The Cancer Letter,negative
Michele Nadeem-Baker,negative
Professione Farmacia,positive
EAC PT88 25th Year,negative
Michael Hallek,positive
Kathleen D. Hoffman,negative
vshariharakrishnan,negative
"chadi nabhan MD, MBA, FACP",negative
Michele Nadeem-Baker,negative
CancerWallonia,negative
Journal Voix du Sud,negative
Pharmacy Edge,positive
filippo masini,negative
filippo masini,negative
Visitor_Z,negative
Esther Schorr,positive
Club Libertad Limpeño,negative
"Thilo J Zander, MD",negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Amy C. Cavers,positive
ClinicalTrialsData,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
"Amber Koehler, PA-C",negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Patient Power,negative
Club Libertad Limpeño,negative
@MissKonfidentielle 🔆 Valérie Desforges,negative
Ashish Bedekar,negative
Patient Power,negative
Patient Power,negative
💥 Paleo by Leo 💥 International Food Blogger,negative
Patient Power,negative
Genentech,negative
Mazen M,negative
MichaelSDeVries,negative
Pallawi Torka,positive
Taylor Lab UM,negative
YoBuzz,negative
CME Schedule,negative
Drug Topics,negative
Rondaxe Pharma,negative
"Amber Koehler, PA-C",negative
COPD News,negative
Medical Xpress,negative
Bionest Partners,negative
Epigenetics Experts,positive
E2DG,negative
PharmacyChecker,negative
National Comprehensive Cancer Network (NCCN),negative
Coventry University Cricket Club 🏏,negative
AbbVie US,negative
Plexus Ventures,negative
Lymphoma Papers,negative
CLL Ireland,negative
Bryjalab,positive
Moisés Uriarte,negative
Trip Database,negative
George J Huba PhD,negative
Roots Analysis,positive
ipharmacenter,positive
CLL Society Inc.,positive
Drugnews.in,negative
Big4Bio:SFBay,negative
Genentech,negative
SU2Cscience,negative
SpecialtyPTimes,negative
CancerCare,negative
MPR,negative
Jeff Neurman,negative
LLS WA/AK Chapter,negative
Advera Health,negative
Roche,positive
Pharmacy Times,positive
emilylevitch_i3Health,negative
CLL Advocates Network,positive
Physician's Weekly,negative
Maya's Dolly,negative
Lymphoma Research Foundation,negative
"LLS, Georgia Chapter",negative
MoJo,negative
ABABioBlurb,negative
The Pharmaceutical Marketing Group,negative
oncohebdo,negative
The Pharmaceutical Marketing Group,negative
1stOncology,negative
Thanasis Chalikias,negative
VHSPL,positive
Michele Porro Lurà,positive
Reg Myers,negative
Lymphoma Papers,negative
Lymphoma Papers,negative
Roche,positive
Shahid Raz,negative
Angela Keen,negative
Club Trecento Santé,negative
FaceMyDoc,negative
EMG GOLD,negative
the world of CROs,negative
Sai Legal Services,negative
Dr Alexandros Kanellopoulos,negative
PharmaShots - Incisive news in 3 shots,negative
Total Pharma News,negative
"Raul Cordoba, MD, PhD",negative
CNA,negative
TheArticleTrunk,negative
chorley chicken,negative
Latest Commentary - #LatestComments,negative
ImmunologyPapers,negative
FirstPressNG,negative
Ibex News 24,negative
E-Radio.US,negative
Ray Noble (The Thin End Show),negative
"Krizsán Szilvia, MD",negative
Allison Rae,negative
the limbic,negative
Snowdome Foundation,negative
Anna Deveau,negative
SpecialtyPTimes,negative
"Dr. Paul DeSantis, PharmD",negative
The Leukemia & Lymphoma Society,negative
"Amber Koehler, PA-C",negative
Liz Brem,negative
calliecoombs,positive
MAISA,positive
FDA Oncology,negative
A Nasser Nourallah. MD.FASCO,positive
Oncology Tube,positive
AbbVie US,positive
Pharmacy Times,positive
CURE Magazine,negative
HemOnc Today,negative
Pharmacutical Daily,negative
Pharmacutical Daily,negative
Leukemia & Lymphoma Society Research,positive
Targeted Oncology,negative
Lisa Astor,positive
Dr Richard Palmquist,negative
SpecialtyPTimes,negative
Oncology Nursing News,negative
RazzleTazzle,negative
Flash Alert,negative
FDA Daily,negative
FDA Daily,negative
Armando Guglielmetti,negative
Crwe World,negative
AbbVie,positive
Crwe World,negative
Sharon Johnson,negative
Andrew Dunn,positive
HempNews,negative
Flash Alert,negative
Genentech,negative
PSK2329 - JHC,negative
Blood Journal,negative
CellworksLife,negative
Normal PD,positive
CLL Society Inc.,negative
BSI America,positive
ICD-10,negative
Marcia Villalba 🦄,negative
WheelieDealer,positive
AIM Alerts!,negative
Simply,negative
Cure Cancer Now,negative
Society for Immunotherapy of Cancer,negative
Eduardo Flavio Oliveira Ribeiro,negative
Oncology Tube,negative
Targeted Oncology,negative
Kathleen D. Hoffman,negative
RIOH,negative
CLL Society Inc.,positive
Clinical Connection,negative
BioAscend,negative
Karim Bhaloo,negative
SIBBM,negative
Oncology Tube,negative
Oncology Tube,negative
Jeff Neurman,negative
Juan Marquet,negative
The Patient's Channel,positive
BSI America,negative
Conflux,positive
Kristen Spitty Photography,positive
"Raul Cordoba, MD, PhD",negative
Ceron Lab,negative
Lance R. Violator,negative
Cancer Papers,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Lymphoma Papers,negative
Toby Eyre,negative
Targeted Oncology,negative
IPSCIO,negative
RoyaltySource®,negative
ValueDiscovery,negative
TrialSite News,positive
Lymphoma Papers,negative
Targeted Oncology,negative
Trip Database,negative
"Thomas LeBlanc, MD, MA, MHS, FAAHPM",positive
AA&MDSIF,negative
Patient Power,negative
Patient Power,positive
Hematology Advisor,negative
Blood Journal,negative
Kathleen D. Hoffman,negative
Michele Nadeem-Baker,negative
Mike E マイケル😷🏳️‍🌈 #HR1 #ForThePeople,positive
ぽこ🇦🇺Aus在住元看護師ブロガー,negative
🇲🇽 Leonardo Collado-Torres,negative
Renal Cell Carcinoma,negative
Nagy Ákos,negative
GEDEFO,negative
Adroit Market Research,positive
RAVIKANTH S,negative
Beecher Hills ES,positive
"Tom Henry, MBA, RPh, CPh",negative
AONN+,negative
Patient Empowerment Network,negative
VJHemOnc,negative
iwCLL,positive
Cancer News,negative
"Raul Cordoba, MD, PhD",negative
"Raul Cordoba, MD, PhD",negative
ClinicalTrialsData,negative
RAVIKANTH S,negative
Dr. Chad DeMott,negative
Ricerca Alfa,negative
Nature Reviews Disease Primers,negative
ClinicalTrialsData,negative
NASDAQ,negative
"Mike Thompson, MD, PhD, FASCO",negative
RAVIKANTH S,negative
RAVIKANTH S,negative
Continuous Lifecycle London (online),negative
RAVIKANTH S,negative
Oncology State Societies at ACCC,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
reactome,negative
Club Libertad Limpeño,negative
Andrew Schorr,negative
Andrew Schorr,positive
RAVIKANTH S,negative
Esther Schorr,positive
BioAscend,negative
Український медичний часопис,negative
J Immunol,negative
AIM Alerts!,negative
WheelieDealer,positive
Jon Bircher,positive
Ruth Gemmell,positive
Proactive,positive
Jon,negative
AIM Alerts!,negative
"Amber Koehler, PA-C",negative
Sidney Kimmel Cancer Center – Jefferson Health,negative
Mohamad Mohty,negative
Taylor Lab UM,positive
CLL Warwick Uni,positive
Alasdair Rankin,positive
Sigrid Skånland,positive
VJHemOnc,negative
Targeted Oncology,negative
TrialBulletin,negative
CureHuntr,negative
Jo-El Sidbury,negative
Michele Nadeem-Baker,positive
Sigrid Skånland,negative
Kathleen D. Hoffman,negative
Society for Immunotherapy of Cancer,negative
Total Pharma News,negative
Henning,positive
"Raul Cordoba, MD, PhD",negative
CLL Ireland,negative
Talal Hilal 🩺,negative
CLL Society Inc.,negative
Fleets of Axanar,negative
AplusA World,negative
@AplusA_France,negative
Sarah Sunshine,positive
医学英単語bot,negative
Mahmoud Aljurf,negative
CURE Magazine,negative
PharmacyTimesCE,negative
Leukemia Research Foundation,positive
"Maria Roussakis, MLT, MSc",negative
The Leukemia & Lymphoma Society,negative
"David Steensma, MD",negative
selpers - Online-Plattform für chronisch Kranke,negative
EPR Network,negative
Total Pharma News,negative
Toby Eyre,positive
@AplusA_France,negative
The ASCO Post,negative
CLL_Fighters🎗,negative
Chan Cheah,negative
AplusA World,positive
Sigrid Skånland,positive
Izaskun Zeberio,negative
"Dr T. Comeau , MD",negative
juan moises arana,negative
Kathleen D. Hoffman,negative
"Lynn D. Cornell, M.D.",negative
Trip Database,negative
Patient Power,negative
Francesco Bertoni,negative
Shouting at people in my underpants,negative
CLL_Fighters🎗,negative
CLL_Fighters🎗,negative
CRO Contract Res.,positive
AURELIAN UDRISTIOIU,negative
Patient Power,negative
UNMC Pathology & Microbiology,negative
AIM Alerts!,negative
Cholmangou,negative
"Mike Thompson, MD, PhD, FASCO",negative
Lunny1607,positive
SwingTradeBot UK,negative
ACCC,positive
Majlen Saarinen,negative
Chan Cheah,negative
Ashbridge Nursery at Maxy Farm,positive
EYFS Resources,negative
researchjobs.cz,negative
Bay Biosciences LLC,negative
PressRelease.cc,positive
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Debbie La Torre 📊,positive
Society for Immunotherapy of Cancer,negative
Paradigm Med Comm,positive
Georgetown Lombardi,positive
Evaluate Pharma,negative
CLL Society Inc.,positive
SpecialtyPTimes,negative
NMDP/Be The Match Advocacy,negative
Kingwood Emergency Hospital,negative
Woodvale Primary Academy,positive
National Cancer Institute,negative
HealthCentral,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
محمد صوان,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
J Immunol,negative
Lymphoma Papers,negative
Lymphoma Papers,negative
Toby Eyre,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Kathleen D. Hoffman,negative
CRO Contract Res.,negative
Elsevier Oncology,negative
CLL Society Inc.,positive
"Amber Koehler, PA-C",negative
Michele Nadeem-Baker,positive
Saad kenderian,negative
Saad kenderian,negative
Lymphoma Papers,negative
Lymphoma Papers,negative
Gil Morgan,negative
SouseTetem🇭🇹,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Oncology Tube,negative
Andrew Schorr,negative
CTV Atlantic,negative
Dr.Faten Yasin,negative
UNMC Pathology & Microbiology,negative
Nature Communications,negative
Team In Training,negative
Michele Nadeem-Baker,positive
Patient Power,negative
Lymphoma Hub,positive
Lymphoma Papers,negative
Cancer Library VCC,negative
histopathology 🔬,negative
"Raul Cordoba, MD, PhD",negative
Florent Malard,negative
Oncology Tube,negative
Toby Eyre,negative
David D Grier,negative
Public Health,negative
Oncology Tube,negative
CLL Advocates Network,positive
Oncology Tube,negative
LyLe Foreningen,negative
LyLe Foreningen,negative
LyLe Foreningen,positive
Lymphoma Hub,negative
Patient Power,positive
Jonathan Pearce,negative
Kathleen D. Hoffman,negative
"David Bartlett, PhD",positive
TRP Channel Bot,negative
LyLe Foreningen,negative
Jonathan Pearce,negative
LyLe Foreningen,negative
Brian Barrett,negative
Targeted Oncology,negative
Oncology Tube,negative
Jeff Neurman,negative
Revista El Repollero,negative
NEJM,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Northwest Medical,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Annie Urag,negative
"Amber Koehler, PA-C",negative
Dr. José A. Queizán,negative
DDNews Online,negative
AplusA World,positive
@AplusA_France,negative
Jonathan Pearce,negative
Patient Power,negative
ASCO Publications,negative
Oncology CE,negative
The Chief Observer,positive
Lymphoma Hub,negative
The Organic Institute CLG,negative
Stanley E Cook,negative
Harold Kinyanjui,negative
"chadi nabhan MD, MBA, FACP",negative
FEDERICO GAITI,negative
Ankur Singh,positive
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
The James,positive
Cornelius,negative
Lenko Sins,negative
OncLive SOSS,negative
SpecialtyPTimes,negative
Abdel-Wahab Lab,positive
"Raul Cordoba, MD, PhD",negative
Society for Immunotherapy of Cancer,negative
Healio CME,positive
ACCC,positive
ISBT Central Office,negative
Value-Based Cancer Care,negative
Continuous Lifecycle London (online),negative
VJHemOnc,negative
LLSCanada,positive
Bill F.,negative
CLL Society Inc.,negative
Michele Nadeem-Baker,positive
Gorka Coloma,negative
Oncology Learning Network,negative
Michele Nadeem-Baker,positive
Michele Nadeem-Baker,negative
VuMedi,negative
TRADY77,negative
iwCLL,negative
Research News24 💎,positive
𝕮𝖍𝖆𝖗𝖒𝖊𝖉𝖆𝖗𝖐🦂🌒🌕🌘,positive
The Pepex Family,negative
Thu Pepex,negative
Thu Pepex,negative
Thu Pepex,negative
Thu Pepex,negative
ASH Clinical News,negative
Revista El Repollero,negative
CellworksLife,negative
Rache,positive
Mira Larkin,positive
医学英単語bot,negative
CLL Society Inc.,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
maria jose agustin,negative
VJHemOnc,positive
Targeted Oncology,negative
Michele Nadeem-Baker,negative
ASH Clinical News,negative
Golden✨,negative
Kathleen D. Hoffman,negative
Toby Eyre,negative
Brian Barrett,negative
The James,negative
"Maryam S. Yazdy, MD",positive
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Jon Juane,positive
MoJo,negative
Toby Eyre,negative
Toby Eyre,positive
Michael Hallek,negative
Patient Power,negative
Michele Nadeem-Baker,positive
Chocolatiere Phys,negative
AbbVie US,negative
PATIENT+,negative
Symag by BNP Paribas PF,negative
Total Pharma News,negative
Joshua,negative
Jeff Neurman,negative
ASH Clinical News,negative
Plexus Ventures,negative
CLL Society Inc.,negative
Leukemia Research Foundation,positive
CanadianBiosimilars,negative
Targeted Oncology,negative
CLL Warwick Uni,negative
European Hematology Association,negative
Toby Eyre,negative
"Dr. Paul DeSantis, PharmD",positive
CLL Society Inc.,negative
Jeff Sharman,negative
ASH Clinical News,negative
Oncology State Societies at ACCC,positive
Toby Eyre,negative
SpecialtyPTimes,negative
Ezzy,negative
Targeted Oncology,positive
Patient Power,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Targeted Oncology,negative
LymphomaAction,positive
Patient Power,negative
CLL Society Inc.,negative
Michele Nadeem-Baker,positive
Virtute_USMLE,negative
Gech,negative
SwingTradeBot UK,negative
MD Anderson Cancer Center,negative
VJHemOnc,negative
CLLSA,negative
Mayo Clinic Cancer Center,negative
"Tom Henry, MBA, RPh, CPh",negative
Targeted Oncology,negative
医学英単語bot,negative
Lymphoma Papers,negative
Utbildning och IT på Kimitoön,negative
Kathleen D. Hoffman,negative
Leukaemia Care,positive
SpecialtyPTimes,negative
Ezzy,negative
ACCC,positive
Prof John,negative
Fabienne McClanahan Lucas (she/her/hers),negative
Patient Power,negative
AIM Alerts!,negative
gilbert c faure,negative
Total Pharma News,negative
Jerry Lee,negative
CEITEC Connect,positive
SpecialtyPTimes,negative
gilbert c faure,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Ezzy,negative
Juan Marquet,negative
VJHemOnc,negative
"Raul Cordoba, MD, PhD",negative
"Raul Cordoba, MD, PhD",negative
CLL Ireland,negative
VJHemOnc,negative
Jhawn Paul,negative
Amy C. Cavers,negative
SpecialtyPTimes,negative
Medivizor,negative
Amy C. Cavers,negative
Patient Power,negative
Yo-Bio,negative
Biotexcel,negative
Lymphoma Papers,negative
Michele Nadeem-Baker,positive
HemOnc Today,positive
VJHemOnc,negative
Value-Based Cancer Care,negative
Patient Power,negative
Cheltenham SD,negative
Ezzy,negative
Ezzy,negative
TrialBulletin,negative
Michele Nadeem-Baker,positive
BioAscend,negative
LLSCanada,positive
AbbVie US,negative
Sophie Cramp,negative
Kristi Rosa,positive
Promise Study,negative
donnashort,negative
Panoptika Partners,positive
MedPage Oncology,positive
Conexão Lado Leste,negative
Alma McCormick,negative
VJHemOnc,negative
Ezzy,negative
Ezzy,negative
iwCLL,negative
Oncology Learning Network,negative
Ruth Gemmell,negative
Kathleen D. Hoffman,negative
Proactive,negative
Proactive,negative
LymphomaAction,positive
The PMI (Pharmaceutical Managers' Institute),negative
Mazen M,negative
Lymphoma Papers,negative
DennisPartners,negative
Ezzy,negative
StressMarq,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
Club Libertad Limpeño,negative
